page,child,route,roles,line,control_type,control_label,handler_kind,parents,status
src/pages/dashboard/AccountsPage.tsx,,/dashboard/accounts,ADMIN_ROLES,38,Button,"الإفصاح PDF",onClick,"DashboardLayout>PageHeaderCard>LockedYearBanner",OK
src/pages/dashboard/AccountsPage.tsx,,/dashboard/accounts,ADMIN_ROLES,42,Button,"توزيع الحصص PDF",onClick,"PageHeaderCard>LockedYearBanner>FileText",OK
src/pages/dashboard/AccountsPage.tsx,,/dashboard/accounts,ADMIN_ROLES,47,Button,"إنشاء حساب ختامي",onClick,"FileText>Users>ExportMenu",OK
src/pages/dashboard/AccountsPage.tsx,,/dashboard/accounts,ADMIN_ROLES,52,Button,"إقفال السنة",onClick,"Users>ExportMenu>Plus",OK
src/pages/dashboard/AdminDashboard.tsx,,/dashboard,ADMIN_ROLES,51,Button,"تقرير سنوي مُجمَّع",onClick,"DashboardLayout>PageHeaderCard",OK
src/pages/dashboard/AdminDashboard.tsx,,/dashboard,ADMIN_ROLES,61,Button,"طباعة",onClick,"DashboardLayout>PageHeaderCard>FileDown",OK
src/pages/dashboard/AnnualReportPage.tsx,,/dashboard/annual-report,ADMIN_ROLES,110,Tab,"حالة العقارات",tabs-radix,"Loader2>Tabs>TabsList",OK
src/pages/dashboard/AnnualReportPage.tsx,,/dashboard/annual-report,ADMIN_ROLES,115,Tab,"الإنجازات",tabs-radix,"TabsList>Building2",OK
src/pages/dashboard/AnnualReportPage.tsx,,/dashboard/annual-report,ADMIN_ROLES,120,Tab,"التحديات",tabs-radix,"TabsList>Building2>Trophy",OK
src/pages/dashboard/AnnualReportPage.tsx,,/dashboard/annual-report,ADMIN_ROLES,125,Tab,"الخطط المستقبلية",tabs-radix,"Building2>Trophy>AlertTriangle",OK
src/pages/dashboard/AnnualReportPage.tsx,,/dashboard/annual-report,ADMIN_ROLES,47,Button,"",onClick,"DashboardLayout>PageHeaderCard",OK
src/pages/dashboard/AnnualReportPage.tsx,,/dashboard/annual-report,ADMIN_ROLES,57,Button,"PDF",onClick,"PageHeaderCard>FileEdit>Send",OK
src/pages/dashboard/AnnualReportPage.tsx,,/dashboard/annual-report,ADMIN_ROLES,61,Button,"طباعة",onClick,"FileEdit>Send>FileDown",OK
src/pages/dashboard/AuditLogPage.tsx,,/dashboard/audit-log,ADMIN_ROLES,47,Tab,"سجل العمليات",tabs-radix,"Tabs>SelectValue>TabsList",OK
src/pages/dashboard/AuditLogPage.tsx,,/dashboard/audit-log,ADMIN_ROLES,48,Tab,"محاولات الوصول",tabs-radix,"SelectValue>TabsList>Activity",OK
src/pages/dashboard/AuditLogPage.tsx,,/dashboard/audit-log,ADMIN_ROLES,49,Tab,"الأرشيف",tabs-radix,"TabsList>Activity>ShieldAlert",OK
src/pages/dashboard/AuditLogPage.tsx,,/dashboard/audit-log,ADMIN_ROLES,27,Button,"",onClick,"DashboardLayout>PageHeaderCard",OK
src/pages/dashboard/BeneficiariesPage.tsx,,/dashboard/beneficiaries,ADMIN_ROLES,34,Tab,"المستفيدون",tabs-radix,"BeneficiaryFormDialog>Tabs>TabsList",OK
src/pages/dashboard/BeneficiariesPage.tsx,,/dashboard/beneficiaries,ADMIN_ROLES,35,Tab,"طلبات السُلف",tabs-radix,"BeneficiaryFormDialog>Tabs>TabsList",OK
src/pages/dashboard/BylawsPage.tsx,,/dashboard/bylaws,ADMIN_ROLES,56,Button,"إضافة بند",onClick,"DashboardLayout>Loader2>PageHeaderCard",OK
src/pages/dashboard/ChartOfAccountsPage.tsx,,/dashboard/chart-of-accounts,ADMIN_ROLES,35,Button,"إضافة حساب",onClick,"DashboardLayout>PageHeaderCard",OK
src/pages/dashboard/ChartOfAccountsPage.tsx,,/dashboard/chart-of-accounts,ADMIN_ROLES,52,Button,"مسح البحث",onClick,"Plus>Search>Input",OK
src/pages/dashboard/ChartOfAccountsPage.tsx,,/dashboard/chart-of-accounts,ADMIN_ROLES,63,Button,"إضافة أول حساب",onClick,"X>Loader2>FolderTree",OK
