file,line,element,status,detail
src/pages/NotFound.tsx,40,Button,GAP-NO-HANDLER,"className=""gradient-primary gap-2 rounded-xl px-6"""
src/pages/NotFound.tsx,46,Button,GAP-NO-HANDLER,"variant=""outline"" className=""gap-2 rounded-xl px-6"""
src/pages/Unauthorized.tsx,66,Button,GAP-NO-HANDLER,"className=""gradient-primary gap-2 rounded-xl px-6"""
src/pages/beneficiary/AnnualReportViewPage.tsx,116,TabsTrigger,GAP-DEAD-TAB,"value=achievement"
src/pages/beneficiary/AnnualReportViewPage.tsx,119,TabsTrigger,GAP-DEAD-TAB,"value=challenge"
src/pages/beneficiary/AnnualReportViewPage.tsx,122,TabsTrigger,GAP-DEAD-TAB,"value=future_plan"
src/pages/beneficiary/InvoicesViewPage.tsx,70,TabsTrigger,GAP-DEAD-TAB,"value=all"
src/pages/beneficiary/InvoicesViewPage.tsx,71,TabsTrigger,GAP-DEAD-TAB,"value=rent"
src/pages/beneficiary/InvoicesViewPage.tsx,72,TabsTrigger,GAP-DEAD-TAB,"value=purchase"
src/pages/dashboard/InvoicesPage.tsx,59,TabsTrigger,GAP-DEAD-TAB,"value=all"
src/pages/dashboard/InvoicesPage.tsx,60,TabsTrigger,GAP-DEAD-TAB,"value=rent"
src/pages/dashboard/InvoicesPage.tsx,61,TabsTrigger,GAP-DEAD-TAB,"value=purchase"
src/components/audit/AuditLogTable.tsx,97,Button,GAP-NO-HANDLER,"variant=""ghost"" size=""icon"" className=""h-6 w-6"" aria-label={isExpanded ? 'طي' : "
src/components/dashboard/views/accountant/OverdueInvoicesCard.tsx,66,Button,GAP-NO-HANDLER,"variant=""outline"" size=""sm"" className=""w-full"""
src/components/dashboard/widgets/DashboardAlerts.tsx,38,Button,GAP-NO-HANDLER,"variant=""outline"" size=""sm"" className=""shrink-0"""
src/components/dashboard/widgets/DashboardAlerts.tsx,52,Button,GAP-NO-HANDLER,"variant=""outline"" size=""sm"" className=""gap-1 shrink-0"""
src/components/dashboard/widgets/DashboardAlerts.tsx,69,Button,GAP-NO-HANDLER,"variant=""outline"" size=""sm"" className=""shrink-0"""
src/components/dashboard/widgets/DashboardAlerts.tsx,84,Button,GAP-NO-HANDLER,"variant=""outline"" size=""sm"" className=""shrink-0"""
src/components/dashboard/widgets/DashboardAlerts.tsx,101,Button,GAP-NO-HANDLER,"variant=""outline"" size=""sm"" className=""shrink-0"""
src/components/dashboard/widgets/DashboardAlerts.tsx,115,Button,GAP-NO-HANDLER,"variant=""outline"" size=""sm"" className=""shrink-0"""
src/components/dashboard/widgets/PendingActionsTable.tsx,98,Button,GAP-NO-HANDLER,"variant=""ghost"" size=""icon"" className=""h-8 w-8 shrink-0"" title=""الانتقال للإجراء"
src/components/dashboard/widgets/PendingActionsTable.tsx,106,Button,GAP-NO-HANDLER,"variant=""link"" size=""sm"" className=""text-xs text-muted-foreground"""
src/components/dashboard/widgets/PendingActionsTable.tsx,139,Button,GAP-NO-HANDLER,"variant=""ghost"" size=""icon"" className=""h-7 w-7"" title=""الانتقال للإجراء"" aria-la"
src/components/dashboard/widgets/PendingActionsTable.tsx,150,Button,GAP-NO-HANDLER,"variant=""link"" size=""sm"" className=""text-xs text-muted-foreground"""
src/components/dashboard/widgets/RecentContractsCard.tsx,74,Button,GAP-NO-HANDLER,"variant=""ghost"" size=""sm"""
src/components/layout/DesktopTopBar.tsx,42,Button,GAP-NO-HANDLER,"variant=""ghost"" size=""icon"" className=""text-sidebar-foreground hover:bg-sidebar-"
src/components/layout/MobileHeader.tsx,41,Button,GAP-NO-HANDLER,"variant=""ghost"" size=""icon"" className=""text-sidebar-foreground hover:bg-sidebar-"
