route,role,role_allowed,perm_key,section_key,effective_allowed,access_basis,status
/beneficiary,admin,true,,,true,admin-override,ALLOWED
/beneficiary,accountant,false,,,false,denied-role,DENIED
/beneficiary,beneficiary,true,,,true,uncontrolled,ALLOWED
/beneficiary,waqif,false,,,false,denied-role,DENIED
/beneficiary/accounts,admin,true,accounts,accounts,true,admin-override,ALLOWED
/beneficiary/accounts,accountant,false,accounts,accounts,false,denied-role,DENIED
/beneficiary/accounts,beneficiary,true,accounts,accounts,true,role+permission+section,ALLOWED
/beneficiary/accounts,waqif,true,accounts,accounts,true,role+permission+section,ALLOWED
/beneficiary/annual-report,admin,true,annual_report,annual_report,true,admin-override,ALLOWED
/beneficiary/annual-report,accountant,false,annual_report,annual_report,false,denied-role,DENIED
/beneficiary/annual-report,beneficiary,true,annual_report,annual_report,true,role+permission+section,ALLOWED
/beneficiary/annual-report,waqif,true,annual_report,annual_report,true,role+permission+section,ALLOWED
/beneficiary/bylaws,admin,true,bylaws,bylaws,true,admin-override,ALLOWED
/beneficiary/bylaws,accountant,false,bylaws,bylaws,false,denied-role,DENIED
/beneficiary/bylaws,beneficiary,true,bylaws,bylaws,true,role+permission+section,ALLOWED
/beneficiary/bylaws,waqif,true,bylaws,bylaws,true,role+permission+section,ALLOWED
/beneficiary/carryforward,admin,true,carryforward,carryforward,true,admin-override,ALLOWED
/beneficiary/carryforward,accountant,false,carryforward,carryforward,false,denied-role,DENIED
/beneficiary/carryforward,beneficiary,true,carryforward,carryforward,true,role+permission+section,ALLOWED
/beneficiary/carryforward,waqif,false,carryforward,carryforward,false,denied-role,DENIED
/beneficiary/contracts,admin,true,contracts,contracts,true,admin-override,ALLOWED
/beneficiary/contracts,accountant,false,contracts,contracts,false,denied-role,DENIED
/beneficiary/contracts,beneficiary,true,contracts,contracts,true,role+permission+section,ALLOWED
/beneficiary/contracts,waqif,true,contracts,contracts,true,role+permission+section,ALLOWED
/beneficiary/disclosure,admin,true,disclosure,disclosure,true,admin-override,ALLOWED
/beneficiary/disclosure,accountant,false,disclosure,disclosure,false,denied-role,DENIED
/beneficiary/disclosure,beneficiary,true,disclosure,disclosure,true,role+permission+section,ALLOWED
/beneficiary/disclosure,waqif,false,disclosure,disclosure,false,denied-role,DENIED
/beneficiary/expenses,admin,true,expenses,expenses,true,admin-override,ALLOWED
/beneficiary/expenses,accountant,false,expenses,expenses,false,denied-role,DENIED
/beneficiary/expenses,beneficiary,true,expenses,expenses,true,role+permission+section,ALLOWED
/beneficiary/expenses,waqif,true,expenses,expenses,true,role+permission+section,ALLOWED
/beneficiary/financial-reports,admin,true,financial_reports,financial_reports,true,admin-override,ALLOWED
/beneficiary/financial-reports,accountant,false,financial_reports,financial_reports,false,denied-role,DENIED
/beneficiary/financial-reports,beneficiary,true,financial_reports,financial_reports,true,role+permission+section,ALLOWED
/beneficiary/financial-reports,waqif,true,financial_reports,financial_reports,true,role+permission+section,ALLOWED
/beneficiary/invoices,admin,true,invoices,invoices,true,admin-override,ALLOWED
/beneficiary/invoices,accountant,false,invoices,invoices,false,denied-role,DENIED
/beneficiary/invoices,beneficiary,true,invoices,invoices,true,role+permission+section,ALLOWED
/beneficiary/invoices,waqif,true,invoices,invoices,true,role+permission+section,ALLOWED
/beneficiary/messages,admin,true,messages,messages,true,admin-override,ALLOWED
/beneficiary/messages,accountant,false,messages,messages,false,denied-role,DENIED
/beneficiary/messages,beneficiary,true,messages,messages,true,role+permission+section,ALLOWED
/beneficiary/messages,waqif,false,messages,messages,false,denied-role,DENIED
/beneficiary/my-share,admin,true,share,share,true,admin-override,ALLOWED
/beneficiary/my-share,accountant,false,share,share,false,denied-role,DENIED
/beneficiary/my-share,beneficiary,true,share,share,true,role+permission+section,ALLOWED
/beneficiary/my-share,waqif,false,share,share,false,denied-role,DENIED
/beneficiary/notifications,admin,true,notifications,notifications,true,admin-override,ALLOWED
/beneficiary/notifications,accountant,false,notifications,notifications,false,denied-role,DENIED
